,Tournament,Date,Team_1,Team_2,Score_1,Score_2
368,Nottingham Windfarm,2019-06-02,Flump,Bristol Open 1,9,10
369,Nottingham Windfarm,2019-06-02,Leamington Lemmings Open,The Brown Open 1,15,7
370,Nottingham Windfarm,2019-06-02,St Albans Open,SCU 1,12,10
371,Nottingham Windfarm,2019-06-02,Rogue Pandas,Plymouth Ultimate,12,11
372,Nottingham Windfarm,2019-06-02,Shake & Bake,Glasgow Open 2,10,13
373,Nottingham Windfarm,2019-06-02,Birmingham Ultimate 2,Flyght Club,13,9
374,Nottingham Windfarm,2019-06-02,Birmingham Ultimate,GB Master Men,8,15
375,Nottingham Windfarm,2019-06-02,BLU,Fire of London,10,15
376,Nottingham Windfarm,2019-06-02,Reading Open 1,Rebel Ultimate,8,15
377,Nottingham Windfarm,2019-06-02,Brighton Open,Manchester Ultimate,14,13
378,Nottingham Windfarm,2019-06-02,The Brown Open 1,EMO 2,5,15
379,Nottingham Windfarm,2019-06-02,BAF,Leamington Lemmings Open,7,11
380,Nottingham Windfarm,2019-06-02,Ranelagh 2,Bristol Open 1,12,13
381,Nottingham Windfarm,2019-06-02,Flump,Thundering Him,6,9
382,Nottingham Windfarm,2019-06-02,GB Men,Chevron Action Flash,15,6
383,Nottingham Windfarm,2019-06-02,Devon Ultimate,Clapham Ultimate,11,15
384,Nottingham Windfarm,2019-06-02,Brixton Open,Curve Open,6,13
385,Nottingham Windfarm,2019-06-02,YOpen 2,South Wales Storm,10,9
386,Nottingham Windfarm,2019-06-02,Wight Wild Cards,Red Open 2,10,6
387,Nottingham Windfarm,2019-06-02,Vision,ExeTour,13,12
388,Nottingham Windfarm,2019-06-02,Red Open 1,Oxford Open,6,15
389,Nottingham Windfarm,2019-06-02,Kent Open,Reading Open 2,9,8
390,Nottingham Windfarm,2019-06-02,Rebel Ultimate 2,Purple Cobras Open,6,15
391,Nottingham Windfarm,2019-06-02,LLLeeds Open 1,Camden Ultimate,13,7
392,Nottingham Windfarm,2019-06-02,YOpen,Glasgow Open 1,11,13
393,Junction 7,2019-06-22,SMOG Open 1,YOpen,14,3
394,Junction 7,2019-06-22,LLLeeds Open 1,LED Open,15,2
395,Junction 7,2019-06-22,Alba,Vision,11,8
396,Junction 7,2019-06-22,Manchester Ultimate,The Brown Open 2,11,5
397,Junction 7,2019-06-22,Alba,Uproar,15,3
398,Junction 7,2019-06-22,Vision,The Brown Open 2,15,3
399,Junction 7,2019-06-22,YOpen,LED Open,13,5
400,Junction 7,2019-06-22,LLLeeds Open 1,The Brown Open 1,14,7
401,Junction 7,2019-06-22,Manchester Ultimate,Uproar,15,1
402,Junction 7,2019-06-22,SMOG Open 1,The Brown Open 1,14,4
403,Junction 7,2019-06-22,Alba,The Brown Open 2,13,3
404,Junction 7,2019-06-22,LLLeeds Open 1,YOpen,13,5
405,Junction 7,2019-06-22,SMOG Open 1,LED Open,15,0
406,Junction 7,2019-06-22,Manchester Ultimate,Vision,12,6
407,Junction 7,2019-06-22,YOpen,The Brown Open 1,6,9
408,Junction 7,2019-06-22,Vision,Uproar,10,6
409,Junction 7,2019-06-22,Alba,Manchester Ultimate,12,7
410,Junction 7,2019-06-22,SMOG Open 1,LLLeeds Open 1,15,6
411,Junction 7,2019-06-22,The Brown Open 1,LED Open,11,7
412,Junction 7,2019-06-22,Uproar,The Brown Open 2,3,11
413,Junction 7,2019-06-23,Alba,LLLeeds Open 1,15,6
414,Junction 7,2019-06-23,SMOG Open 1,Manchester Ultimate,15,9
415,Junction 7,2019-06-23,Vision,YOpen,14,11
416,Junction 7,2019-06-23,The Brown Open 2,The Brown Open 1,10,15
417,Junction 7,2019-06-23,YOpen,Uproar,12,11
418,Junction 7,2019-06-23,The Brown Open 2,LED Open,12,9
419,Junction 7,2019-06-23,The Brown Open 1,Manchester Ultimate,10,12
420,Junction 7,2019-06-23,LLLeeds Open 1,Vision,11,10
421,Junction 7,2019-06-23,Alba,SMOG Open 1,11,15
422,Junction 7,2019-06-23,LED Open,Uproar,15,4
423,Junction 7,2019-06-23,YOpen,The Brown Open 2,12,7
424,Junction 7,2019-06-23,The Brown Open 1,Vision,11,14
425,Junction 7,2019-06-23,Manchester Ultimate,LLLeeds Open 1,14,8
426,Midsummer Madness,2019-06-22,Ka-Pow!,Thundering Him,14,15
427,Midsummer Madness,2019-06-22,Brighton Open,Flump,11,10
428,Midsummer Madness,2019-06-22,EMO 1,BLU,5,15
429,Midsummer Madness,2019-06-22,Ranelagh,Fire of London,9,14
430,Midsummer Madness,2019-06-22,Kent Open,Curve Open,12,14
431,Midsummer Madness,2019-06-22,Purple Cobras Open,Sharkbear!,12,3
432,Midsummer Madness,2019-06-22,St Albans Open,Chiquititas,9,8
433,Midsummer Madness,2019-06-22,Camden Ultimate,The Chilterns Collective,14,6
434,Midsummer Madness,2019-06-22,Leamington Lemmings Open,SCU 1,15,7
435,Midsummer Madness,2019-06-22,Oxford Open,Curve Open,11,12
436,Midsummer Madness,2019-06-22,St Albans Open,Sharkbear!,9,10
437,Midsummer Madness,2019-06-22,Purple Cobras Open,Chiquititas,13,4
438,Midsummer Madness,2019-06-22,Thundering Him,Brighton Open,8,11
439,Midsummer Madness,2019-06-22,BLU,Fire of London,8,14
440,Midsummer Madness,2019-06-22,Brixton Open,The Chilterns Collective,13,8
441,Midsummer Madness,2019-06-22,Cambridge 1,SCU 1,15,5
442,Midsummer Madness,2019-06-22,Flump,Ka-Pow!,8,14
443,Midsummer Madness,2019-06-22,Ranelagh,EMO 1,15,8
444,Midsummer Madness,2019-06-22,Camden Ultimate,Brixton Open,13,7
445,Midsummer Madness,2019-06-22,Leamington Lemmings Open,Cambridge 1,15,8
446,Midsummer Madness,2019-06-22,Kent Open,Oxford Open,13,9
447,Midsummer Madness,2019-06-22,Purple Cobras Open,St Albans Open,13,5
448,Midsummer Madness,2019-06-22,Sharkbear!,Chiquititas,6,9
449,Midsummer Madness,2019-06-22,Curve Open,Ka-Pow!,5,15
450,Midsummer Madness,2019-06-22,Thundering Him,Fire of London,8,14
451,Midsummer Madness,2019-06-22,Brighton Open,BLU,13,12
452,Midsummer Madness,2019-06-22,St Albans Open,Kent Open,7,13
453,Midsummer Madness,2019-06-22,Chiquititas,Oxford Open,11,5
454,Midsummer Madness,2019-06-22,Cambridge 1,The Chilterns Collective,1,0
455,Midsummer Madness,2019-06-22,Brixton Open,SCU 1,11,12
456,Midsummer Madness,2019-06-22,Ranelagh,Leamington Lemmings Open,15,5
457,Midsummer Madness,2019-06-22,Purple Cobras Open,EMO 1,13,9
458,Midsummer Madness,2019-06-22,Flump,Camden Ultimate,13,12
459,Midsummer Madness,2019-06-23,Cambridge 1,Curve Open,11,13
460,Midsummer Madness,2019-06-23,EMO 1,SCU 1,15,5
461,Midsummer Madness,2019-06-23,Leamington Lemmings Open,Kent Open,15,6
462,Midsummer Madness,2019-06-23,Chiquititas,Camden Ultimate,6,11
463,Midsummer Madness,2019-06-23,Brixton Open,St Albans Open,1,0
464,Midsummer Madness,2019-06-23,Oxford Open,Sharkbear!,0,1
465,Midsummer Madness,2019-06-23,Ranelagh,Thundering Him,14,13
466,Midsummer Madness,2019-06-23,Flump,Fire of London,10,13
467,Midsummer Madness,2019-06-23,BLU,Ka-Pow!,0,1
468,Midsummer Madness,2019-06-23,Brighton Open,Purple Cobras Open,13,10
469,Midsummer Madness,2019-06-23,St Albans Open,Sharkbear!,1,0
470,Midsummer Madness,2019-06-23,Oxford Open,The Chilterns Collective,1,0
471,Midsummer Madness,2019-06-23,Leamington Lemmings Open,Camden Ultimate,11,12
472,Midsummer Madness,2019-06-23,EMO 1,Curve Open,15,9
473,Midsummer Madness,2019-06-23,Cambridge 1,SCU 1,14,8
474,Midsummer Madness,2019-06-23,Kent Open,Chiquititas,10,9
475,Midsummer Madness,2019-06-23,Brixton Open,The Chilterns Collective,1,0
476,Midsummer Madness,2019-06-23,Ranelagh,Fire of London,14,9
477,Midsummer Madness,2019-06-23,Brighton Open,Ka-Pow!,10,15
478,Midsummer Madness,2019-06-23,BLU,Purple Cobras Open,13,7
479,Midsummer Madness,2019-06-23,Thundering Him,Flump,15,10
480,Midsummer Madness,2019-06-23,Oxford Open,St Albans Open,9,8
481,Midsummer Madness,2019-06-23,Brixton Open,Sharkbear!,0,1
482,Midsummer Madness,2019-06-23,EMO 1,Camden Ultimate,13,6
483,Midsummer Madness,2019-06-23,Leamington Lemmings Open,Curve Open,15,9
484,Midsummer Madness,2019-06-23,Chiquititas,SCU 1,9,10
485,Midsummer Madness,2019-06-23,Cambridge 1,Kent Open,15,7
486,Midsummer Madness,2019-06-23,St Albans Open,The Chilterns Collective,1,0
487,Midsummer Madness,2019-06-23,Ka-Pow!,Ranelagh,15,13
488,Midsummer Madness,2019-06-23,Fire of London,Brighton Open,11,10
489,Midsummer Madness,2019-06-23,Flump,Purple Cobras Open,12,11
490,Midsummer Madness,2019-06-23,BLU,Thundering Him,10,7
491,Midsummer Madness,2019-06-23,Brixton Open,Oxford Open,0,1
492,Midsummer Madness,2019-06-23,The Chilterns Collective,Sharkbear!,0,1
493,Rhymney Cup,2019-06-22,BAF,Red Open 2,15,3
494,Rhymney Cup,2019-06-22,Devon Ultimate,South Wales Storm,15,5
495,Rhymney Cup,2019-06-22,Birmingham Ultimate,Plymouth Ultimate,15,3
496,Rhymney Cup,2019-06-22,Reading Open 2,Shake & Bake,13,10
497,Rhymney Cup,2019-06-22,Reading Open 1,GB U24 Men,4,15
498,Rhymney Cup,2019-06-22,GB U20 Men,Bristol University Open 1,15,1
499,Rhymney Cup,2019-06-22,Bristol Open 1,Red Open 1,15,5
500,Rhymney Cup,2019-06-22,Birmingham Ultimate,Reading Open 2,14,4
501,Rhymney Cup,2019-06-22,Plymouth Ultimate,Shake & Bake,15,7
502,Rhymney Cup,2019-06-22,Devon Ultimate,BAF,15,3
503,Rhymney Cup,2019-06-22,South Wales Storm,Red Open 2,14,12
504,Rhymney Cup,2019-06-22,GB U17 Open,South Wales Storm 2,11,9
505,Rhymney Cup,2019-06-22,Bristol Open 1,GB U20 Men,8,15
506,Rhymney Cup,2019-06-22,Red Open 1,Bristol University Open 1,15,5
507,Rhymney Cup,2019-06-22,Reading Open 2,Plymouth Ultimate,12,7
508,Rhymney Cup,2019-06-22,Birmingham Ultimate,Shake & Bake,15,7
509,Rhymney Cup,2019-06-22,Reading Open 1,South Wales Storm 2,14,9
510,Rhymney Cup,2019-06-22,GB U24 Men,GB U17 Open,15,1
511,Rhymney Cup,2019-06-22,BAF,South Wales Storm,15,4
512,Rhymney Cup,2019-06-22,Devon Ultimate,Red Open 2,15,4
513,Rhymney Cup,2019-06-22,GB U24 Men,South Wales Storm 2,15,0
514,Rhymney Cup,2019-06-22,Reading Open 1,GB U17 Open,15,3
515,Rhymney Cup,2019-06-22,GB U20 Men,Red Open 1,15,2
516,Rhymney Cup,2019-06-22,Bristol Open 1,Bristol University Open 1,15,8
517,Rhymney Cup,2019-06-23,Reading Open 1,Birmingham Ultimate,10,11
518,Rhymney Cup,2019-06-23,Reading Open 2,GB U24 Men,7,15
519,Rhymney Cup,2019-06-23,Devon Ultimate,Bristol Open 1,15,8
520,Rhymney Cup,2019-06-23,GB U20 Men,BAF,15,8
521,Rhymney Cup,2019-06-23,GB U20 Men,GB U24 Men,6,15
522,Rhymney Cup,2019-06-23,Devon Ultimate,Birmingham Ultimate,15,6
523,Rhymney Cup,2019-06-23,South Wales Storm 2,Plymouth Ultimate,5,11
524,Rhymney Cup,2019-06-23,South Wales Storm,Bristol University Open 1,11,4
525,Rhymney Cup,2019-06-23,Shake & Bake,GB U17 Open,11,8
526,Rhymney Cup,2019-06-23,Red Open 1,Red Open 2,12,7
527,Rhymney Cup,2019-06-23,BAF,Reading Open 2,15,4
528,Rhymney Cup,2019-06-23,Reading Open 1,Bristol Open 1,8,12
529,Rhymney Cup,2019-06-23,Devon Ultimate,GB U24 Men,10,12
530,Rhymney Cup,2019-06-23,GB U20 Men,Birmingham Ultimate,0,15
531,Rhymney Cup,2019-06-23,South Wales Storm,Plymouth Ultimate,15,11
